Obs_ID,Date,Year,Month,Month_Name,Day_of_Week,Ticker,Company,Sector,Market_Cap_Category,Open,High,Low,Close,Volume,VWAP,Price_Range,Daily_Return_Pct,Beta,RSI,MA_20,MA_50,BB_Signal,PE_Ratio,Market_Cap_Billions,Dividend_Yield,Market_Regime,Trading_Signal,Price_Up
27,2021-01-06,2021,01,January,Wednesday,XOM,ExxonMobil Corp.,Energy,Large Cap,84.24,84.82,83.81,83.82,4450010,84.1,1.01,-0.4989,0.9,48.15,82.23,83.56,Above,25.49,902.49,2.2548,Bull,Sell,0
28,2021-01-06,2021,01,January,Wednesday,JNJ,Johnson & Johnson,Healthcare,Large Cap,165.96,166.82,165.52,166.35,3369131,166.28,1.3,0.2376,0.7,52.81,164.44,174.66,Above,29.54,856.02,1.9423,Bull,Hold,1
29,2021-01-06,2021,01,January,Wednesday,PFE,Pfizer Inc.,Healthcare,Mid Cap,48.87,48.87,48.3,48.39,6129392,48.42,0.57,-0.9732,0.7,41.29,48.95,49.96,Below,40.23,518.0,0,Bull,Sell,0
30,2021-01-06,2021,01,January,Wednesday,WMT,Walmart Inc.,Consumer Staples,Large Cap,143.7,144.95,142.77,143.85,5436812,143.69,2.18,0.1056,0.6,60.37,145.24,137.05,Below,27.35,993.04,1.589,Bull,Hold,1
31,2021-01-07,2021,01,January,Thursday,AAPL,Apple Inc.,Technology,Large Cap,146.14,148.25,145.95,147.41,8392171,147.08,2.3,0.8689,1.3,53.66,147.86,144.87,Below,30.18,1200.74,0.2169,Bull,Buy,1
32,2021-01-07,2021,01,January,Thursday,MSFT,Microsoft Corp.,Technology,Large Cap,274.46,278.62,274.28,277.74,4528461,276.66,4.34,1.1952,1.3,59.74,277.13,280.93,Above,23.52,2478.72,0.4652,Bull,Buy,1
33,2021-01-07,2021,01,January,Thursday,GOOGL,Alphabet Inc.,Technology,Large Cap,2827.1,2839.27,2817.72,2837.19,6222953,2831.06,21.55,0.3568,1.3,46.77,2797.18,2784.65,Above,17.12,26382.16,0.486,Bull,Buy,1
34,2021-01-07,2021,01,January,Thursday,AMZN,Amazon.com Inc.,Consumer Discretionary,Large Cap,3352.03,3418.31,3351.71,3387.43,2960753,3384.53,66.6,1.0559,1.2,52.79,3311.8,3366.22,Above,27.3,24765.02,0.2695,Bull,Buy,1
35,2021-01-07,2021,01,January,Thursday,JPM,JPMorgan Chase,Financials,Large Cap,150.04,151.11,148.63,148.72,4084947,149.43,2.48,-0.8784,1.1,52.14,147.19,150.51,Above,30.82,1356.87,2.6198,Bull,Sell,0
36,2021-01-07,2021,01,January,Thursday,BAC,Bank of America,Financials,Large Cap,42.17,42.36,41.74,41.87,4715065,42.04,0.62,-0.7034,1.1,52.0,41.87,40.62,Below,29.49,295.37,0.7609,Bull,Sell,0
37,2021-01-07,2021,01,January,Thursday,XOM,ExxonMobil Corp.,Energy,Large Cap,83.82,83.9,82.49,83.2,5952097,83.21,1.41,-0.7416,0.9,44.85,84.49,84.47,Below,20.15,581.98,2.0561,Bull,Sell,0
38,2021-01-07,2021,01,January,Thursday,JNJ,Johnson & Johnson,Healthcare,Large Cap,166.35,166.57,163.57,163.98,5833214,164.74,3.0,-1.4269,0.7,45.9,166.77,164.91,Below,22.48,1014.01,2.0775,Bull,Sell,0
39,2021-01-07,2021,01,January,Thursday,PFE,Pfizer Inc.,Healthcare,Mid Cap,48.39,48.81,48.25,48.53,5185907,48.53,0.56,0.2903,0.7,50.43,48.54,46.45,Below,31.6,435.79,2.4044,Bull,Hold,1
40,2021-01-07,2021,01,January,Thursday,WMT,Walmart Inc.,Consumer Staples,Large Cap,143.85,146.57,143.83,146.38,5896341,145.88,2.74,1.7582,0.6,46.62,147.45,141.0,Below,5,727.33,0.3946,Bull,Strong Buy,1
41,2021-01-08,2021,01,January,Friday,AAPL,Apple Inc.,Technology,Large Cap,147.41,147.81,146.72,147.68,6024351,147.24,1.09,0.1824,1.3,57.14,145.48,144.86,Above,25.98,1186.91,0.9274,Bull,Hold,1
42,2021-01-08,2021,01,January,Friday,MSFT,Microsoft Corp.,Technology,Large Cap,277.74,281.91,277.12,280.55,4560282,280.06,4.79,1.013,1.3,54.96,280.05,286.65,Above,20.77,2187.07,0.5542,Bull,Buy,1
43,2021-01-08,2021,01,January,Friday,GOOGL,Alphabet Inc.,Technology,Large Cap,2837.19,2900.62,2833.21,2899.48,4184578,2879.74,67.41,2.1955,1.3,53.65,2914.43,2761.64,Below,33.35,17402.95,0.2668,Bull,Strong Buy,1
44,2021-01-08,2021,01,January,Friday,AMZN,Amazon.com Inc.,Consumer Discretionary,Large Cap,3387.43,3464.45,3386.35,3446.06,5996116,3428.86,78.1,1.7309,1.2,61.91,3523.53,3276.2,Below,13.41,31746.3,0.1091,Bull,Strong Buy,1
45,2021-01-08,2021,01,January,Friday,JPM,JPMorgan Chase,Financials,Large Cap,148.72,149.46,148.31,149.38,4872766,149.06,1.15,0.4451,1.1,47.45,152.28,147.53,Below,27.72,1080.4,1.5851,Bull,Buy,1
46,2021-01-08,2021,01,January,Friday,BAC,Bank of America,Financials,Large Cap,41.87,42.16,41.7,42.13,6585065,42.06,0.46,0.6303,1.1,53.11,42.59,43.01,Below,32.42,356.21,1.6698,Bull,Buy,1
47,2021-01-08,2021,01,January,Friday,XOM,ExxonMobil Corp.,Energy,Large Cap,83.2,84.35,82.88,84.33,5719146,83.69,1.47,1.357,0.9,54.04,84.85,86.94,Below,26.21,792.05,1.4996,Bull,Buy,1
48,2021-01-08,2021,01,January,Friday,JNJ,Johnson & Johnson,Healthcare,Large Cap,163.98,164.91,162.75,163.38,3059582,163.78,2.16,-0.3687,0.7,47.86,164.78,163.68,Below,33.35,1566.86,0.9837,Bull,Sell,0
49,2021-01-08,2021,01,January,Friday,PFE,Pfizer Inc.,Healthcare,Mid Cap,48.53,48.76,48.22,48.66,6169499,48.6,0.54,0.2606,0.7,50.75,48.3,49.99,Above,6.24,402.23,1.6146,Bull,Hold,1
50,2021-01-08,2021,01,January,Friday,WMT,Walmart Inc.,Consumer Staples,Large Cap,146.38,147.19,145.72,146.29,4635301,146.39,1.47,-0.0587,0.6,47.88,145.17,141.51,Above,36.04,1395.9,2.1385,Bull,Hold,0
51,2021-01-11,2021,01,January,Monday,AAPL,Apple Inc.,Technology,Large Cap,147.68,150.3,147.57,149.12,3997953,148.87,2.73,0.9723,1.3,55.01,147.08,148.99,Above,33.71,855.91,1.1017,Bull,Buy,1
52,2021-01-11,2021,01,January,Monday,MSFT,Microsoft Corp.,Technology,Large Cap,280.55,283.47,278.96,282.07,4822117,281.21,4.51,0.5405,1.3,50.3,271.15,280.46,Above,39.42,1784.12,0.4181,Bull,Buy,1
53,2021-01-11,2021,01,January,Monday,GOOGL,Alphabet Inc.,Technology,Large Cap,2899.48,2906.88,2838.15,2840.71,9514563,2862.51,68.73,-2.0269,1.3,42.06,2864.16,2804.76,Below,14.29,24012.3,0.4475,Bull,Strong Sell,0
54,2021-01-11,2021,01,January,Monday,AMZN,Amazon.com Inc.,Consumer Discretionary,Large Cap,3446.06,3451.24,3419.21,3426.2,5956911,3438.18,32.03,-0.5762,1.2,42.73,3515.49,3405.4,Below,18.87,39883.81,0.5465,Bull,Sell,0
55,2021-01-11,2021,01,January,Monday,JPM,JPMorgan Chase,Financials,Large Cap,149.38,150.61,148.38,150.12,5437636,149.62,2.23,0.4949,1.1,44.78,146.13,150.5,Above,29.72,1288.93,1.2553,Bull,Buy,1
56,2021-01-11,2021,01,January,Monday,BAC,Bank of America,Financials,Large Cap,42.13,42.3,41.48,41.57,3908293,41.77,0.82,-1.327,1.1,45.9,41.01,41.33,Above,18.92,332.28,1.9057,Bull,Sell,0
57,2021-01-11,2021,01,January,Monday,XOM,ExxonMobil Corp.,Energy,Large Cap,84.33,84.49,83.44,84.0,4603612,84.0,1.05,-0.3873,0.9,52.04,81.99,84.33,Above,34.65,649.5,1.4242,Bull,Sell,0
58,2021-01-11,2021,01,January,Monday,JNJ,Johnson & Johnson,Healthcare,Large Cap,163.38,163.54,162.88,163.32,5128665,163.27,0.66,-0.0392,0.7,45.97,162.9,168.44,Above,23.37,1265.27,1.1068,Bull,Hold,0
59,2021-01-11,2021,01,January,Monday,PFE,Pfizer Inc.,Healthcare,Mid Cap,48.66,48.95,48.48,48.78,3682108,48.69,0.47,0.2436,0.7,51.76,48.88,49.14,Below,33.5,360.06,1.8544,Bull,Hold,1
60,2021-01-11,2021,01,January,Monday,WMT,Walmart Inc.,Consumer Staples,Large Cap,146.29,147.03,144.28,144.65,6456194,145.35,2.75,-1.1222,0.6,42.71,143.94,146.46,Above,24.85,1184.05,0.4121,Bull,Sell,0
61,2021-01-12,2021,01,January,Tuesday,AAPL,Apple Inc.,Technology,Large Cap,149.12,149.77,148.49,148.58,2295427,149.05,1.28,-0.362,1.3,53.17,148.46,144.89,Above,17.44,1154.96,0,Bull,Sell,0
62,2021-01-12,2021,01,January,Tuesday,MSFT,Microsoft Corp.,Technology,Large Cap,282.07,283.87,281.72,283.12,4416320,282.95,2.15,0.3709,1.3,52.87,287.77,283.25,Below,19.48,2069.07,0.5546,Bull,Buy,1
63,2021-01-12,2021,01,January,Tuesday,GOOGL,Alphabet Inc.,Technology,Large Cap,2840.71,2887.76,2828.75,2884.07,4258843,2860.85,59.01,1.5265,1.3,56.23,2825.18,2795.13,Above,9.19,18236.02,0.6705,Bull,Strong Buy,1
64,2021-01-12,2021,01,January,Tuesday,AMZN,Amazon.com Inc.,Consumer Discretionary,Large Cap,3426.2,3450.18,3392.97,3395.39,4891803,3414.32,57.21,-0.8991,1.2,51.01,3394.96,3285.23,Above,24.01,29710.98,0.3251,Bull,Sell,0
65,2021-01-12,2021,01,January,Tuesday,JPM,JPMorgan Chase,Financials,Large Cap,150.12,150.78,148.34,148.59,4834396,149.24,2.44,-1.0219,1.1,52.09,149.18,147.35,Below,30.46,1667.26,2.6102,Bull,Sell,0
66,2021-01-12,2021,01,January,Tuesday,BAC,Bank of America,Financials,Large Cap,41.57,42.07,40.95,41.88,3442400,41.62,1.12,0.7507,1.1,48.75,42.9,42.32,Below,13.58,351.85,1.9375,Bull,Buy,1
67,2021-01-12,2021,01,January,Tuesday,XOM,ExxonMobil Corp.,Energy,Large Cap,84.0,84.41,83.66,83.9,4395010,83.99,0.75,-0.1157,0.9,47.05,84.83,81.91,Below,11.15,578.15,2.5791,Bull,Hold,0
68,2021-01-12,2021,01,January,Tuesday,JNJ,Johnson & Johnson,Healthcare,Large Cap,163.32,164.85,162.41,162.73,3371585,163.19,2.44,-0.3634,0.7,50.13,159.86,172.39,Above,17.07,1468.05,2.6681,Bull,Sell,0
69,2021-01-12,2021,01,January,Tuesday,PFE,Pfizer Inc.,Healthcare,Mid Cap,48.78,48.98,48.73,48.79,5557920,48.88,0.25,0.0263,0.7,50.36,47.77,48.84,Above,19.61,230.54,0.942,Bull,Hold,1
70,2021-01-12,2021,01,January,Tuesday,WMT,Walmart Inc.,Consumer Staples,Large Cap,144.65,144.99,141.95,143.06,8646432,143.25,3.04,-1.1021,0.6,44.36,144.54,146.86,Below,21.65,1113.87,3.2655,Bull,Sell,0
71,2021-01-13,2021,01,January,Wednesday,AAPL,Apple Inc.,Technology,Large Cap,148.58,148.65,147.63,147.97,3610913,148.05,1.02,-0.4135,1.3,42.93,147.35,154.91,Above,30.93,1163.22,0.2201,Bull,Sell,0
72,2021-01-13,2021,01,January,Wednesday,MSFT,Microsoft Corp.,Technology,Large Cap,283.12,284.31,281.73,282.36,7367503,282.41,2.58,-0.2674,1.3,47.75,289.74,268.19,Below,34.51,1474.75,0.473,Bull,Hold,0
73,2021-01-13,2021,01,January,Wednesday,GOOGL,Alphabet Inc.,Technology,Large Cap,2884.07,2893.58,2843.38,2879.72,2155291,2870.6,50.2,-0.1507,1.3,49.73,2841.14,2863.82,Above,15.51,21304.43,0.246,Bull,Hold,0
74,2021-01-13,2021,01,January,Wednesday,AMZN,Amazon.com Inc.,Consumer Discretionary,Large Cap,3395.39,3410.08,3375.93,3402.17,4095524,3394.98,34.15,0.1996,1.2,50.84,3387.12,3397.75,Above,12.5,29114.52,0.2254,Bull,Hold,1
75,2021-01-13,2021,01,January,Wednesday,JPM,JPMorgan Chase,Financials,Large Cap,148.59,149.53,146.71,147.39,5176411,148.05,2.82,-0.8088,1.1,48.94,143.62,143.4,Above,31.06,1009.84,0.6277,Bull,Sell,0
76,2021-01-13,2021,01,January,Wednesday,BAC,Bank of America,Financials,Large Cap,41.88,41.91,41.64,41.81,4580968,41.77,0.27,-0.1556,1.1,36.58,42.13,40.96,Below,35.44,262.35,0.2363,Bull,Hold,0
77,2021-01-13,2021,01,January,Wednesday,XOM,ExxonMobil Corp.,Energy,Large Cap,83.9,85.27,83.69,84.73,6481820,84.54,1.58,0.9936,0.9,44.7,84.97,84.32,Below,35.27,752.65,3.9286,Bull,Buy,1
78,2021-01-13,2021,01,January,Wednesday,JNJ,Johnson & Johnson,Healthcare,Large Cap,162.73,162.74,159.8,160.48,7664983,161.14,2.94,-1.3857,0.7,49.61,158.61,157.49,Above,8.76,1695.35,1.9066,Bull,Sell,0
79,2021-01-13,2021,01,January,Wednesday,PFE,Pfizer Inc.,Healthcare,Mid Cap,48.79,48.97,48.53,48.68,6606535,48.65,0.44,-0.2223,0.7,45.76,48.82,49.11,Below,32.66,315.79,1.6018,Bull,Hold,0
80,2021-01-13,2021,01,January,Wednesday,WMT,Walmart Inc.,Consumer Staples,Large Cap,143.06,146.11,142.56,145.71,5890802,144.9,3.55,1.8498,0.6,64.57,145.94,150.17,Below,18.0,1294.65,2.2234,Bull,Strong Buy,1
81,2021-01-14,2021,01,January,Thursday,AAPL,Apple Inc.,Technology,Large Cap,147.97,148.98,147.49,148.58,5205068,148.64,1.49,0.4139,1.3,52.79,150.67,145.86,Below,25.62,926.42,0.3287,Bull,Buy,1
82,2021-01-14,2021,01,January,Thursday,MSFT,Microsoft Corp.,Technology,Large Cap,282.36,282.95,280.72,282.91,4787191,282.14,2.23,0.1934,1.3,56.96,280.16,272.16,Above,35.41,2439.05,0,Bull,Hold,1
83,2021-01-14,2021,01,January,Thursday,GOOGL,Alphabet Inc.,Technology,Large Cap,2879.72,2884.37,2846.15,2866.15,4090571,2863.89,38.22,-0.4712,1.3,44.03,2820.83,2815.96,Above,13.51,18495.85,0.018,Bull,Sell,0
84,2021-01-14,2021,01,January,Thursday,AMZN,Amazon.com Inc.,Consumer Discretionary,Large Cap,3402.17,3423.4,3336.44,3343.41,4660919,3363.62,86.96,-1.7272,1.2,47.21,3341.0,3307.3,Above,21.29,34735.75,0.5719,Bull,Strong Sell,0
85,2021-01-14,2021,01,January,Thursday,JPM,JPMorgan Chase,Financials,Large Cap,147.39,148.91,146.95,147.34,1748895,147.67,1.96,-0.031,1.1,51.77,145.85,149.25,Above,16.82,1305.98,0.2571,Bull,Hold,0
86,2021-01-14,2021,01,January,Thursday,BAC,Bank of America,Financials,Large Cap,41.81,41.88,41.45,41.54,5121764,41.7,0.43,-0.6501,1.1,45.98,41.26,38.67,Above,39.15,309.33,0.5592,Bull,Sell,0
87,2021-01-14,2021,01,January,Thursday,XOM,ExxonMobil Corp.,Energy,Large Cap,84.73,85.79,84.69,85.37,3063318,85.32,1.1,0.7575,0.9,49.17,83.87,87.6,Above,7.94,755.59,1.8675,Bull,Buy,1
88,2021-01-14,2021,01,January,Thursday,JNJ,Johnson & Johnson,Healthcare,Large Cap,160.48,163.02,159.16,162.81,4288590,161.67,3.86,1.449,0.7,56.12,165.21,154.83,Below,22.36,1539.33,2.7352,Bull,Buy,1
89,2021-01-14,2021,01,January,Thursday,PFE,Pfizer Inc.,Healthcare,Mid Cap,48.68,49.39,48.47,49.31,8543344,49.12,0.92,1.2894,0.7,57.49,49.92,48.34,Below,13.42,467.18,1.2223,Bull,Buy,1
90,2021-01-14,2021,01,January,Thursday,WMT,Walmart Inc.,Consumer Staples,Large Cap,145.71,146.05,145.1,145.33,5487320,145.34,0.95,-0.2584,0.6,49.57,145.87,145.05,Below,19.05,1334.12,2.9981,Bull,Hold,0
91,2021-01-15,2021,01,January,Friday,AAPL,Apple Inc.,Technology,Large Cap,148.58,150.07,147.0,149.54,4107441,148.78,3.07,0.646,1.3,55.85,149.96,151.31,Below,30.09,994.68,0.276,Bull,Buy,1
92,2021-01-15,2021,01,January,Friday,MSFT,Microsoft Corp.,Technology,Large Cap,282.91,283.1,278.77,278.9,6002326,280.05,4.33,-1.4182,1.3,50.28,282.74,289.68,Below,30.69,2308.81,0.7017,Bull,Sell,0
93,2021-01-15,2021,01,January,Friday,GOOGL,Alphabet Inc.,Technology,Large Cap,2866.15,2877.1,2851.37,2869.62,7669636,2871.7,25.73,0.1212,1.3,50.54,2883.58,2899.49,Below,24.98,25622.65,0.4636,Bull,Hold,1
94,2021-01-15,2021,01,January,Friday,AMZN,Amazon.com Inc.,Consumer Discretionary,Large Cap,3343.41,3366.93,3323.71,3325.9,5367615,3341.79,43.22,-0.5237,1.2,49.18,3340.45,3320.61,Below,15.24,26452.69,0.1589,Bull,Sell,0
95,2021-01-15,2021,01,January,Friday,JPM,JPMorgan Chase,Financials,Large Cap,147.34,148.04,146.57,147.11,6218339,147.28,1.47,-0.1543,1.1,49.04,148.03,139.88,Below,16.23,1144.06,1.7762,Bull,Hold,0
96,2021-01-15,2021,01,January,Friday,BAC,Bank of America,Financials,Large Cap,41.54,41.71,41.35,41.37,4491153,41.43,0.36,-0.3975,1.1,50.46,41.24,42.61,Above,30.32,376.55,1.7573,Bull,Sell,0
97,2021-01-15,2021,01,January,Friday,XOM,ExxonMobil Corp.,Energy,Large Cap,85.37,85.69,84.03,84.53,10232311,84.66,1.66,-0.9806,0.9,46.01,84.07,83.94,Above,20.33,439.34,0.7014,Bull,Sell,0
98,2021-01-15,2021,01,January,Friday,JNJ,Johnson & Johnson,Healthcare,Large Cap,162.81,162.89,160.13,160.57,4516461,161.23,2.76,-1.3787,0.7,42.95,162.81,159.02,Below,26.8,965.36,2.0255,Bull,Sell,0
99,2021-01-15,2021,01,January,Friday,PFE,Pfizer Inc.,Healthcare,Mid Cap,49.31,49.39,48.98,49.04,5000941,49.15,0.41,-0.5509,0.7,46.42,50.03,50.19,Below,28.86,305.51,0.6206,Bull,Sell,0
100,2021-01-15,2021,01,January,Friday,WMT,Walmart Inc.,Consumer Staples,Large Cap,145.33,145.47,144.0,144.26,3924979,144.75,1.47,-0.7381,0.6,47.8,139.9,142.55,Above,5,991.41,1.0607,Bull,Sell,0
101,2021-01-18,2021,01,January,Monday,AAPL,Apple Inc.,Technology,Large Cap,149.54,149.78,148.19,148.54,7740713,149.02,1.59,-0.6713,1.3,42.28,151.33,142.52,Below,18.48,1528.15,0,Bull,Sell,0
102,2021-01-18,2021,01,January,Monday,MSFT,Microsoft Corp.,Technology,Large Cap,278.9,280.54,278.74,279.14,4769755,279.95,1.8,0.0847,1.3,46.2,278.85,283.52,Above,22.99,1888.91,0.4822,Bull,Hold,1
103,2021-01-18,2021,01,January,Monday,GOOGL,Alphabet Inc.,Technology,Large Cap,2869.62,2879.77,2849.66,2860.45,4464560,2864.22,30.11,-0.3196,1.3,48.21,2852.5,2859.23,Above,19.43,19452.39,0.6322,Bull,Sell,0
104,2021-01-18,2021,01,January,Monday,AMZN,Amazon.com Inc.,Consumer Discretionary,Large Cap,3325.9,3341.4,3280.23,3283.08,3482369,3302.5,61.17,-1.2874,1.2,46.97,3320.61,3378.19,Below,22.07,22779.18,0.3182,Bull,Sell,0
105,2021-01-18,2021,01,January,Monday,JPM,JPMorgan Chase,Financials,Large Cap,147.11,147.55,145.23,145.4,5606049,145.99,2.32,-1.161,1.1,42.83,146.16,143.58,Below,16.68,1130.12,1.2884,Bull,Sell,0
106,2021-01-18,2021,01,January,Monday,BAC,Bank of America,Financials,Large Cap,41.37,41.51,40.72,40.86,5686773,41.04,0.79,-1.2357,1.1,48.93,40.84,41.77,Above,38.25,331.81,1.8522,Bull,Sell,0
107,2021-01-18,2021,01,January,Monday,XOM,ExxonMobil Corp.,Energy,Large Cap,84.53,85.03,84.15,84.92,6650293,84.57,0.88,0.4581,0.9,60.32,86.03,85.32,Below,25.41,902.45,0.743,Bull,Buy,1
108,2021-01-18,2021,01,January,Monday,JNJ,Johnson & Johnson,Healthcare,Large Cap,160.57,160.95,158.49,158.66,3905269,159.39,2.46,-1.1889,0.7,47.11,156.72,165.02,Above,13.86,965.43,1.8009,Bull,Sell,0
109,2021-01-18,2021,01,January,Monday,PFE,Pfizer Inc.,Healthcare,Mid Cap,49.04,49.12,48.73,48.85,3584076,48.87,0.39,-0.3887,0.7,45.42,49.23,48.26,Below,31.09,433.89,2.3325,Bull,Sell,0
110,2021-01-18,2021,01,January,Monday,WMT,Walmart Inc.,Consumer Staples,Large Cap,144.26,145.55,143.82,145.09,4466991,144.78,1.73,0.5729,0.6,42.57,145.72,142.65,Below,28.21,1275.52,0.4183,Bull,Buy,1
